# File ranges are half-open: start <= offset < end.
# type: code, data, text, table, mixed, unknown.
# confidence: confirmed, probable, rough.
start	end	type	confidence	segment	label	notes
0xD11AC	0xD11E2	code	confirmed	C772	c772-9A8C	C772:9A8C..9AC2 (54 bytes, traced)
0xD15F6	0xD1925	code	confirmed	C772	c772-9ED6	C772:9ED6..A205 (815 bytes, traced)
0xD194B	0xD1978	code	confirmed	C772	c772-A22B	C772:A22B..A258 (45 bytes, traced)
0xD1E22	0xD1FC0	code	confirmed	C772	c772-A702	C772:A702..A8A0 (414 bytes, traced)
0xD256B	0xD262E	code	confirmed	C772	c772-AE4B	C772:AE4B..AF0E (195 bytes, traced)
0xD275E	0xD2781	code	confirmed	C772	c772-B03E	C772:B03E..B061 (35 bytes, traced)
0xD27CA	0xD280D	code	confirmed	C772	c772-B0AA	C772:B0AA..B0ED (67 bytes, traced)
0xD2744	0xD2751	text	confirmed	C772	merge-filename	:MERGE.FIL filename constant at C772:B024.
0xD28FE	0xD290F	text	confirmed	C772	address-odb-path	H:ADDRESS.ODB address-book path at C772:B1DE.
0xD36F9	0xD3A0B	data	confirmed	C772	printer-escape-seqs	HP PCL/ESC printer control sequences: margins, fonts, spacing.
0xD3A0B	0xD3C6A	data	confirmed	C772	printer-font-table	PCL font selection sequences: pitch, height, style variations.
0xD3C6A	0xD3D2A	data	confirmed	C772	char-translation-table	Character translation table (166 bytes): maps internal codes to printer character set.
0xD4DBB	0xD4DD5	code	confirmed	C772	c772-D69B	C772:D69B..D6B5 (26 bytes, traced)
0xD4DFB	0xD4E11	code	confirmed	C772	c772-D6DB	C772:D6DB..D6F1 (22 bytes, traced)
0xD4E61	0xD4E67	code	confirmed	C772	c772-D741	C772:D741..D747 (6 bytes, traced)
0xD5F21	0xD60D2	code	confirmed	C772	c772-E801	C772:E801..E9B2 (433 bytes, traced)
0xD6169	0xD616F	code	confirmed	C772	c772-EA49	C772:EA49..EA4F (6 bytes, traced)
0xD6269	0xD628D	code	confirmed	C772	c772-EB49	C772:EB49..EB6D (36 bytes, traced)
0xD62F0	0xD6368	code	confirmed	C772	c772-EBD0	C772:EBD0..EC48 (120 bytes, traced)
0xD64C5	0xD64CF	code	confirmed	C772	c772-EDA5	C772:EDA5..EDAF (10 bytes, traced)
0xD4A2	0xD550	data	confirmed	C772	ruler-pattern	80-column ruler string: 0,,,,+,,,,1... used by editor display at C772:5D82.
0xD5E3F	0xD5ED4	text	confirmed	C772	status-line-labels	Editor status line mode labels: OFF, CHA, LIN, CAPS, SHIFT.
0xD5E9E	0xD5EF2	text	confirmed	C772	status-line-indicators	Editor status indicators: CODE, PRNT, FULL, HYPH, FRM, INS, ZOOM, MARK.
0xD5EFA	0xD5F1A	text	confirmed	C772	merge-field-tags	Merge field tags: NAME(, SALUTATION(, TEL(, FAX(, ADRS(.
0xD64DC	0xD64EC	text	confirmed	C772	initializing-string	INITIALIZING display script (24 bytes).
0xD64F4	0xD6550	text	confirmed	C772	startup-banner	WORD PROCESSOR (C) 1992 NER/mikrolab version banner.
0xD650C	0xD65F0	text	confirmed	C772	copyright-strings	NER/mikrolab/Inso CorrectSpell copyright notices.
0xD66F4	0xD6728	text	confirmed	C772	organizer-menu-title	ORGANIZER MENU display script.
0xD6728	0xD6816	text	confirmed	C772	wp-menu-title	WORD PROCESSOR MENU display script.
0xD6816	0xD684D	text	confirmed	C772	low-battery-msg	The batteries are too low to operate.
0xD684D	0xD68AE	data	confirmed	C772	printer-control-table	Printer model/feature control sequence table.
0xD68AE	0xD6920	text	confirmed	C772	clear-text-ui	CLEAR TEXT dialog strings.
0xD6920	0xD6A6A	text	confirmed	C772	print-text-ui	PRINT TEXT dialog: page range, numbering, merge options.
0xD6A6A	0xD6B6A	text	confirmed	C772	file-merge-ui	Convert to ASCII, NAME LIST, merge file error messages.
0xD6B6A	0xD6C38	text	confirmed	C772	initialize-ui	INITIALIZE warning dialog, PLEASE WAIT, memory size display.
0xD6C38	0xD6D27	text	confirmed	C772	search-replace-ui	SEARCH and REPLACE SEARCH dialogs.
0xD6D27	0xD7002	text	confirmed	C772	print-status-ui	Active printing display: pause, cancel, page break, continuation.
0xD7002	0xD73FC	text	confirmed	C772	storage-error-msgs	Card/FDD/memory error messages: no card, not formatted, write-protected, etc.
0xD73FC	0xD76C1	text	confirmed	C772	file-ops-ui	RECALL FILE, BASIC, DIRECTORY, DELETE FILE, RENAME FILE dialogs.
0xD76E4	0xD7736	text	confirmed	C772	store-ui	Same file name exists, Storing text, PLEASE WAIT.
0xD7736	0xD77F9	text	confirmed		store-text-ui	STORE TEXT dialog, ENTER FILE NAME, overwrite prompt. Past C772 segment limit.
0xD77F9	0xD7A84	text	confirmed		spell-check-ui	SPELL CHECK RUN/SPELL CHECK dialogs: suggest, add, bypass, retype, user dictionary, NO SUGGESTION.
0xD7A84	0xD7CCC	text	confirmed		work-memory-msgs	Work memory full messages, COPY/MOVE prompts.
0xD7CCC	0xD7E13	text	confirmed		format-settings-ui	FORMAT SETTING dialog: margins, paper width/length, tab space.
0xD7E13	0xD7F9F	text	confirmed		init-memory-ui	Built-in/Card Memory labels, INITIALIZE BUILT-IN MEMORY warning, text recall prompts.
0xD7F9F	0xD8039	text	confirmed		spell-status-msgs	Word added/already in dictionary, User Dictionary full, Invalid word.
0xD803F	0xD80F1	text	confirmed		thesaurus-ui	THESAURUS display: meanings, synonyms, NO SYNONYM IN DICTIONARY.
0xD8109	0xD8462	text	confirmed		grammar-check-ui	GRAMMAR CHECK error type dialogs: Beginning, Punctuation, Capitalization, Spacing, Double word, Quotation.
0xD8462	0xD84C4	text	confirmed		spell-grammar-run-ui	SPELL & GRAMMAR CHECK RUN combined title.
0xD84C4	0xD86FF	text	confirmed		comm-ui	RS-232C send/receive file dialogs, XMODEM variants.
0xD86FF	0xD88F9	text	confirmed		dreamlink-ui	DreamLink labels and error messages.
0xD88F9	0xD89B0	text	confirmed		directory-ui	DIRECTORY change/proceed/cancel prompts.
0xD89B0	0xD8A17	text	confirmed		store-status-msgs	Text stored successfully, clear workspace prompt.
0xD8A17	0xD8B30	text	confirmed		spell-disabled-msg	Spell Checking is Disabled, memory protected, To Be Implemented, NJD debug labels.
0xD8B30	0xD8ED3	table	probable		display-script-ptrs	Display script resource pointer table (~450 word entries).
0xD8ED3	0xDEF00	mixed	probable		display-script-data	Display script data, bitmaps, and glyph resources. Contains embedded bitmap data (icon/button shapes).
0xDEF00	0xDEF0A	data	confirmed	DEF0	def0-header	Glyph bitmap/pixel mask data before first wrapper.
0xDEF0B	0xE12F3	code	confirmed	DEF0	def0-000B	DEF0:000B..23F3 (9192 bytes, traced)
0xE1335	0xE1830	code	confirmed	DEF0	def0-2435	DEF0:2435..2930 (1275 bytes, traced)
0xE18DC	0xE1CBB	code	confirmed	DEF0	def0-29DC	DEF0:29DC..2DBB (991 bytes, traced); includes EROMCARD.X launcher at DEF0:2C37.
0xE1CF1	0xE38AA	code	confirmed	DEF0	def0-2DF1	DEF0:2DF1..49AA (7097 bytes, traced)
0xE3919	0xE39A9	code	confirmed	DEF0	def0-4A19	DEF0:4A19..4AA9 (144 bytes, traced)
0xE40FD	0xEC95C	code	confirmed	DEF0	def0-51FD	DEF0:51FD..DA5C (34911 bytes, traced)
0xEC9E5	0xECBA2	code	confirmed	DEF0	def0-DAE5	DEF0:DAE5..DCA2 (445 bytes, traced)
0xECC27	0xECD90	code	confirmed	DEF0	def0-DD27	DEF0:DD27..DE90 (361 bytes, traced)
0xECED5	0xECFC0	code	confirmed	DEF0	def0-DFD5	DEF0:DFD5..E0C0 (235 bytes, traced)
0xECFEC	0xED029	code	confirmed	DEF0	def0-E0EC	DEF0:E0EC..E129 (61 bytes, traced)
0xED04C	0xED05F	code	confirmed	DEF0	def0-E14C	DEF0:E14C..E15F (19 bytes, traced)
0xED095	0xED0CB	code	confirmed	DEF0	def0-E195	DEF0:E195..E1CB (54 bytes, traced)
0xED0F0	0xED11A	code	confirmed	DEF0	def0-E1F0	DEF0:E1F0..E21A (42 bytes, traced)
0xED154	0xED1AA	code	confirmed	DEF0	def0-E254	DEF0:E254..E2AA (86 bytes, traced)
0xEDED5	0xEDF93	code	confirmed	ED1B	ed1b-0D25	ED1B:0D25..0DE3 (190 bytes, traced)
0xEDFCE	0xEE15B	code	confirmed	ED1B	ed1b-0E1E	ED1B:0E1E..0FAB (397 bytes, traced)
0xEE179	0xEF8AF	code	confirmed	EE17	ee17-0009	EE17:0009..173F (5942 bytes, traced)
0xEF8AF	0xEFB1D	code	confirmed	EF8A	ef8a-000F	EF8A:000F..027D (622 bytes, traced)
0xF131C	0xF1344	text	confirmed	EE17	eromcard-filename	EROMCARD.X ROM card executable filename used by DEF0:2C37.
0xF1344	0xF13C0	text	confirmed	EE17	others-menu-strings	COMMUNICATE, SYSTEM, PREFERENCES, ROM CARD.
0xF140F	0xF14E1	text	confirmed	EE17	system-setup-strings	SYSTEM SET UP: AUTO POWER OFF PERIOD, POWER ON BUZZER with type/duration choices.
0xF14E1	0xF15B8	text	confirmed	EE17	editor-preferences	EDITOR PREFERENCES: STICKY SHIFT KEY, BIG FONT MODE, SPELL CHECKING, PASSWORDS, SAVE ONLY TEXT ON FDD.
0xF15B8	0xF162E	text	confirmed	EE17	romcard-error-msgs	ROM card launcher/error messages: no card, inadequate memory, can not open, not enough memory, ID error; DEF0:2C37 does not directly reference ID error.
0xF16B0	0xF16C1	data	confirmed	EE17	filename-invalid-chars	Filename invalid characters: "\ *+,/:<=>?[]|.
0xF16C1	0xF1716	text	confirmed	EE17	password-ui	Password Registry UI and default password (teacher123).
0xF1772	0xF1830	text	confirmed	EE17	wp-menu-strings	EDIT TEXT, FILE, CLEAR TEXT, PRINTER, T I M E, OTHERS, RECALL, STORE, DELETE, RENAME, COPY, INITIALIZE.
0xF1852	0xF18F6	text	confirmed	EE17	printer-menu-strings	PRINT OUT, SET UP 1, SET UP 2.
0xF18C2	0xF1930	text	confirmed	EE17	comm-menu-strings	SEND FILE x2, RECEIVE FILE x2, TERMINAL, SET UP.
0xF245A	0xF2610	text	confirmed	EE17	orgn-menu-strings	CALCULATOR, CALENDAR, SCHEDULER, WORLD CLOCK, ADDRESS BOOK, error messages.
0xF2920	0xF297A	resource	confirmed	DEF0	sched-grid-frame	Scheduler grid frame: 6 FF 44 rectangle column dividers (F292:0002, 0x5A bytes).
0xF298C	0xF29A8	text	confirmed	DEF0	sched-please-wait	*** PLEASE WAIT *** loading message (F298:000C).
0xF29A8	0xF2A28	resource	confirmed	DEF0	sched-weekly-legend	WEEKLY title + key legend: [TAB] CONTENT, [D] DATE, [BEGIN] BEGIN, [END] END (F29A:0008).
0xF2B38	0xF2B56	resource	confirmed	DEF0	sched-date-field	Date input: FF 44 rectangle + Date label (F2B3:0008).
0xF2B54	0xF2B82	resource	confirmed	DEF0	sched-date-entry	DATE entry frame: DATE, [↵] SET, [CAN] CANCEL (F2B5:0004).
0xF2B82	0xF2B9A	data	confirmed	DEF0	sched-field-desc	Date edit field descriptors: 3 × 8 bytes (month/day/year) (F2B8:0002).
0xF2B9A	0xF2BB0	text	confirmed	EE17	schedule-odb	SCHEDULE.ODB filename.
0xF2BBA	0xF2BC4	resource	confirmed	DEF0	sched-alarm-title	FF 40 + FF 06 alarm display positioning (F2BB:000A).
0xF2BC0	0xF2BD0	resource	confirmed	DEF0	sched-list-attr	FF 06 attribute set for schedule list area (F2BC:0000).
0xF2BD0	0xF2C2A	resource	confirmed	DEF0	wc-grid-frame	Grid frame: FF 02 cursor + 6 FF 44 rectangles (F2BD:0000, 0x5A bytes). Shared with scheduler.
0xF2C40	0xF2C4F	resource	confirmed	DEF0	wc-alarm-attr	FF 06 attribute set for alarm list area (F2C4:0000).
0xF2C60	0xF2CE2	resource	confirmed	DEF0	wc-legend	WORLD CLOCK title + key legend: [H] SET HOME CITY, [2] SET 2ND CITY, [S] SET TIME/DATE, [F] DISPLAY FORM, [A] DAILY ALARM (F2C6:0000, 0x82 bytes).
0xF2CE0	0xF2D18	resource	confirmed	DEF0	wc-set-time	SET TIME/DATE sub-screen legend (F2CE:0000, 0x38 bytes).
0xF2D20	0xF2D81	resource	confirmed	DEF0	wc-set-home	SET HOME CITY legend: [TAB] ORDER, [INS] DAYLIGHT TIME, [↵] SET, [CAN] CANCEL (F2D2:0000, 0x61 bytes).
0xF2D80	0xF2DE0	resource	confirmed	DEF0	wc-set-2nd	SET 2ND CITY legend (F2D8:0000, 0x60 bytes).
0xF2DE0	0xF2E17	resource	confirmed	DEF0	wc-disp-form	DISPLAY FORM legend (F2DE:0000, 0x37 bytes).
0xF2E70	0xF2EB8	resource	confirmed	DEF0	wc-alarm-legend	DAILY ALARM legend: [↵] EDIT, [BACK] DELETE, [CAN] EXIT (F2E7:0000, 0x48 bytes).
0xF2EB0	0xF2EC7	resource	confirmed	DEF0	wc-time-header	TIME column header for alarm list (F2EB:0000, 0x17 bytes).
0xF2F00	0xF2F30	resource	confirmed	DEF0	wc-clock-icons	Clock icon bitmaps and city indicator segments (F2F0/F2F1).
0xF2F52	0xF3252	resource	confirmed	DEF0	wc-world-map	World map bitmap: 96×64 pixels, 768 bytes (F2F5:0002).
0xF382E	0xF68BE	data	confirmed	DEF0	tz-database	Timezone database: 222 records × 56 bytes (city name, UTC offset, country name).
0xF68BE	0xF68C0	data	confirmed	DEF0	tz-count	Timezone record count: 0x00DE (222).
0xF68C0	0xF6A78	data	confirmed	DEF0	tz-index	Timezone index table: 222 word-sized entries mapping display position to record number.
0xF3340	0xF335B	text	confirmed	DEF0	abook-please-wait	*** PLEASE WAIT *** loading message (F334:0000).
0xF3390	0xF33D0	resource	confirmed	DEF0	abook-content-labels	Content view field labels: FREE, TEL, FAX, ADRS, MEMO, SALUTATION (F339:0000).
0xF33C0	0xF33F0	resource	confirmed	DEF0	abook-delete-confirm	Deletes this entry confirmation display (F33C:0000).
0xF33F0	0xF344A	resource	confirmed	DEF0	abook-grid-frame	Grid frame: 6 FF 44 rectangles (F33F:0000, 0x5A bytes).
0xF3450	0xF34D9	resource	confirmed	DEF0	abook-index-legend	INDEX view key legend (F345:0000, 0x89 bytes).
0xF34D0	0xF3559	resource	confirmed	DEF0	abook-content-legend	CONTENT view key legend (F34D:0000, 0x89 bytes).
0xF3560	0xF3591	resource	confirmed	DEF0	abook-edit-legend	EDIT sub-screen legend (F356:0000).
0xF3590	0xF35C6	resource	confirmed	DEF0	abook-new-legend	NEW ENTRY sub-screen legend (F359:0000).
0xF35C0	0xF35CE	resource	confirmed	DEF0	abook-delete-legend	DELETE sub-screen title (F35C:0000).
0xF35F0	0xF3630	resource	confirmed	DEF0	abook-search-legend	SEARCH sub-screen legend (F35F:0000).
0xF3660	0xF367C	text	confirmed	DEF0	abook-confirm-string	Are you sure? (Y/N) confirmation (F366:0000).
0xF367C	0xF36D0	data	confirmed	DEF0	abook-field-desc	Field editor descriptors: 6 × 14 bytes (F367:000C).
0xF36D0	0xF3750	data	confirmed	DEF0	abook-sort-table	Character sort-order table: case-insensitive alphabetical (F36D:0000, 128 bytes).
0xF37D0	0xF37E0	text	confirmed	EE17	address-odb	ADDRESS.ODB filename.
0xF6E30	0xF6E3E	code	confirmed		reset-trampoline	CLI, port 0x16/0x17 writes, JMP FAR C000:0000.
0xFFFF0	0x100000	code	confirmed		reset-vector	CLI; JMP FAR F6E3:0000.
